,user,text,favorite_count,retweet_count,created_at
69,SudhanshuTrived,"हर दिव्यांग का सशक्तिकरण, मोदी सरकार की प्राथमिकता

दिव्यांग साथियों के दूसरों पर निर्भरता कम करके उन्हें स्वावलंबी बनाने के लिए सरकार ने हर क्षेत्र में अनेक प्रयास किए है, उन्हें वो सम्मान मिल रहा है जिनके वो हक़दार हैं। @narendramodi ⁦@BJP4India⁩ https://t.co/fshsWCPbuF",616,137,2023-04-10 13:29:43+00:00
70,SudhanshuTrived,From 5.05 to 5.50 pm I’m @aajtak,227,26,2023-04-10 11:28:38+00:00
71,SudhanshuTrived,"“प्रोजेक्ट टाइगर की सफलता भारत सहित पूरे विश्व के लिए गौरव का विषय है। भारत ने Tiger को ना सिर्फ बचाया है, बल्कि उसको फलने-फूलने का एक बेहतरीन ecosystem दिया है”

मैसूर में टाइगर प्रोजेक्ट के 50 वर्ष पूरे होने पर स्मरणोत्सव कार्यक्रम में PM श्री @narendramodi जी https://t.co/4cK9SfGmnj",1700,320,2023-04-09 14:26:26+00:00
72,SudhanshuTrived,From 6.05 to 6.50 pm I’m @aajtak,207,32,2023-04-09 12:30:15+00:00
73,SudhanshuTrived,राजनीति के समरांगण से अलग आज प्रकृति के सान्निध्य में अभयारण्य में गजराज के  के साथ अभिवादन का आदान प्रदान करते PM श्री @narendramodi जी https://t.co/2DGrT8u1vO,1691,250,2023-04-09 11:31:52+00:00
74,SudhanshuTrived,From 9.05 to 9.50 pm I’m ⁦@News18UP⁩ and other Hindi Network 18 channels https://t.co/C5hruHgh04,466,89,2023-04-08 15:41:26+00:00
75,SudhanshuTrived,"हनुमानजी के स्वरूप पर कुछ लोग अनाप शनाप टिप्पणी कर देते है। हनुमंत अतुलित बलधामी,बाल ब्रह्मचारी व ईश्वर के सर्वाधिक निकट स्वरूप है,इसका गहरा आध्यात्मिक अर्थ है पर उसे समझने की दृष्टि व बुद्धि जिनके पास नहीं है फिर भी कुछ भी बोलते हैं,वास्तव में उन्हें बंदर की संज्ञा दी जानी चाहिए https://t.co/rds56MClyc",4759,1288,2023-04-08 05:11:00+00:00
76,SudhanshuTrived,From 9.25 to 10.25 pm I’m @TV9Bharatvarsh https://t.co/FowJqvyirO,1416,225,2023-04-07 15:49:21+00:00
77,SudhanshuTrived,"हम विश्व के only existing Pre historic nation हैं,प्रागेतिहासिक काल  की अकेली जीवित सभ्यता,लेकिन उस महान सभ्यता पर प्रामाणिक विदेशी हैं,वो भी वो जो भारत में ज्ञान के लिए नहीं लूट के लिए आए थे।
लुटेरों के लिखे इतिहास को अपने से अधिक प्रामाणिक मानने वाले हम दुनिया के इकलौते देश थे https://t.co/5P7RsRwTxv",6550,2084,2023-04-07 14:58:08+00:00
78,SudhanshuTrived,From 7.05 to 7.50 pm I’m @News18India,194,23,2023-04-07 13:38:36+00:00
79,SudhanshuTrived,From 6.05 to 6.50 pm I’m @aajtak,197,28,2023-04-07 12:28:16+00:00
80,SudhanshuTrived,From 2.10 to 2.50 pm I’m @TV9Bharatvarsh,187,20,2023-04-07 08:37:36+00:00
81,SudhanshuTrived,Today got the opportunity to interact with students of Jawahar Lal Nehru University (JNU) @JNU_official_50  in post dinner interaction at Tapti Hostel in a lively &amp; vibrant interaction organised by @abvpjnu https://t.co/hQ3fNDGpzc,2894,446,2023-04-06 19:07:51+00:00
82,SudhanshuTrived,I will be speaking in JNU in a short while https://t.co/7zH2THjq6h,1832,235,2023-04-06 16:05:02+00:00
83,SudhanshuTrived,"पवन तनय बल पवन समाना,
बुद्धि विवेक विज्ञान निधाना। https://t.co/IfRJqz770s",6792,644,2023-04-06 04:21:50+00:00
84,SudhanshuTrived,"हम सभी कार्यकर्ताओं को भारत की राजनीति में युगांतर स्थापित करने वाली विश्व के सर्वाधिक लोकप्रिय नेतृत्व से सुशोभित विश्व की सबसे बड़ी पार्टी ⁦@BJP4India⁩ के स्थापना दिवस की शुभकामनाएं।
 
#BJPSthapnaDiwas https://t.co/GTjCumhw5Q",2277,359,2023-04-06 04:02:49+00:00
85,SudhanshuTrived,बिहार या बंगाल की हिंसा कोई अलग या अनायास घटना नहीं है। ये बहुत गहरी और व्यापक समस्या है इसे केवल स्थानीय वोट बैंक की राजनीति के नज़रिए से देखना तिनके की ओट में पहाड़ छुपाने जैसा है https://t.co/IHprDaxTCt,4990,1591,2023-04-05 16:59:19+00:00
